Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type,Year,Month
1,495793,1495793,10000,2025-12-28,1,2025,12
2,642001,1642001,10000,2025-11-14,1,2025,11
3,348416,1348416,10000,2025-03-14,1,2025,3
4,725733,1725733,10000,2025-07-14,1,2025,7
5,834806,1834806,10000,2025-10-07,1,2025,10
6,205363,1205363,10000,2025-09-21,1,2025,9
7,759116,1759116,10000,2025-12-14,1,2025,12
8,467539,1467539,10000,2025-05-14,1,2025,5
9,692875,1692875,10000,2025-02-13,1,2025,2
10,646670,1646670,10000,2025-05-14,1,2025,5
11,676126,1676126,10000,2025-03-28,1,2025,3
12,236066,1236066,10000,2025-02-06,1,2025,2
13,911653,1911653,10000,2025-11-28,1,2025,11
14,321058,1321058,10000,2025-08-07,1,2025,8
15,807452,1807452,10000,2025-10-21,1,2025,10
16,900380,1900380,10000,2025-08-07,1,2025,8
17,272075,1272075,10000,2025-10-14,1,2025,10
18,442698,1442698,10000,2025-09-07,1,2025,9
19,780421,1780421,10000,2025-10-14,1,2025,10
20,656176,1656176,10000,2025-03-07,1,2025,3
21,24193,1024193,10000,2025-11-07,1,2025,11
22,667073,1667073,10000,2025-07-07,1,2025,7
23,667180,1667180,10000,2025-02-27,1,2025,2
24,230289,1230289,10000,2025-10-21,1,2025,10
25,634586,1634586,10000,2025-05-07,1,2025,5
26,933949,1933949,10000,2025-10-21,1,2025,10
27,191928,1191928,10000,2025-02-06,1,2025,2
28,924630,1924630,10000,2025-11-21,1,2025,11
29,836935,1836935,10000,2025-08-28,1,2025,8
30,821915,1821915,10000,2025-01-27,1,2025,1
31,568966,1568966,10000,2025-01-06,1,2025,1
32,143766,1143766,10000,2025-05-14,1,2025,5
33,65817,1065817,10000,2025-08-28,1,2025,8
34,27954,1027954,10000,2025-07-21,1,2025,7
35,801983,1801983,10000,2025-01-27,1,2025,1
36,979428,1979428,10000,2025-09-21,1,2025,9
37,399331,1399331,10000,2025-11-21,1,2025,11
38,697526,1697526,10000,2025-07-28,1,2025,7
39,931367,1931367,10000,2025-03-07,1,2025,3
40,679636,1679636,10000,2025-04-21,1,2025,4
41,328621,1328621,10000,2025-11-28,1,2025,11
42,341388,1341388,10000,2025-05-28,1,2025,5
43,250990,1250990,10000,2025-02-06,1,2025,2
44,756606,1756606,10000,2025-08-14,1,2025,8
45,929396,1929396,10000,2025-09-07,1,2025,9
46,421038,1421038,10000,2025-09-28,1,2025,9
47,622250,1622250,10000,2025-02-06,1,2025,2
48,938590,1938590,10000,2025-07-07,1,2025,7
49,426911,1426911,10000,2025-08-21,1,2025,8
50,159801,1159801,10000,2025-12-07,1,2025,12
51,818899,1818899,10000,2025-01-13,1,2025,1
52,699761,1699761,10000,2025-01-20,1,2025,1
53,105248,1105248,10000,2025-02-13,1,2025,2
54,574824,1574824,10000,2025-12-07,1,2025,12
55,170961,1170961,10000,2025-10-21,1,2025,10
56,512971,1512971,10000,2025-02-20,1,2025,2
57,747366,1747366,10000,2025-03-28,1,2025,3
58,300712,1300712,10000,2025-11-21,1,2025,11
59,358491,1358491,10000,2025-08-21,1,2025,8
60,473343,1473343,10000,2025-03-21,1,2025,3
61,438504,1438504,10000,2025-04-14,1,2025,4
62,347142,1347142,10000,2025-03-14,1,2025,3
63,29065,1029065,10000,2025-05-21,1,2025,5
64,447695,1447695,10000,2025-11-14,1,2025,11
65,948268,1948268,10000,2025-02-20,1,2025,2
66,466670,1466670,10000,2025-02-13,1,2025,2
67,85437,1085437,10000,2025-06-07,1,2025,6
68,107892,1107892,10000,2025-07-07,1,2025,7
69,667633,1667633,10000,2025-05-21,1,2025,5
70,4701,1004701,10000,2025-04-14,1,2025,4
71,447145,1447145,10000,2025-06-14,1,2025,6
72,375750,1375750,10000,2025-10-14,1,2025,10
73,610720,1610720,10000,2025-05-14,1,2025,5
74,550274,1550274,10000,2025-07-21,1,2025,7
75,496476,1496476,10000,2025-05-28,1,2025,5
76,113339,1113339,10000,2025-04-21,1,2025,4
77,363467,1363467,10000,2025-01-27,1,2025,1
78,292820,1292820,10000,2025-03-28,1,2025,3
